Depot A 1 traded 1 product A for 14$. New balance is 119, stock remaining is 34
Depot A 1 traded 1 product A for 14$. New balance is 133, stock remaining is 33
Depot A 1 traded 1 product A for 14$. New balance is 147, stock remaining is 32
Depot A 1 traded 1 product A for 14$. New balance is 161, stock remaining is 31
Depot A 1 traded 1 product A for 14$. New balance is 175, stock remaining is 30
Depot A 1 traded 1 product A for 14$. New balance is 189, stock remaining is 29
Depot A 1 traded 1 product A for 14$. New balance is 203, stock remaining is 28
Depot A 1 traded 1 product A for 14$. New balance is 217, stock remaining is 27
Depot A 1 traded 1 product A for 14$. New balance is 231, stock remaining is 26
Depot A 1 traded 1 product A for 14$. New balance is 245, stock remaining is 25
Depot A 1 traded 1 product A for 14$. New balance is 259, stock remaining is 24
Depot A 1 traded 1 product A for 14$. New balance is 273, stock remaining is 23
Depot A 1 traded 1 product A for 14$. New balance is 287, stock remaining is 22
Depot A 1 traded 1 product A for 14$. New balance is 301, stock remaining is 21
Depot A 1 traded 1 product A for 14$. New balance is 315, stock remaining is 20
Depot A 1 traded 1 product A for 14$. New balance is 329, stock remaining is 19
Depot A 1 traded 1 product A for 14$. New balance is 343, stock remaining is 18
Depot A 1 traded 1 product A for 14$. New balance is 357, stock remaining is 17
Depot A 1 traded 1 product A for 14$. New balance is 371, stock remaining is 16
Depot A 1 traded 1 product A for 14$. New balance is 385, stock remaining is 15
Depot A 2 traded 1 product A for 16$. New balance is 94, stock remaining is 30
Depot A 2 traded 1 product A for 16$. New balance is 110, stock remaining is 29
Depot A 2 traded 1 product A for 16$. New balance is 126, stock remaining is 28
Depot A 2 traded 1 product A for 16$. New balance is 142, stock remaining is 27
Depot A 2 traded 1 product A for 16$. New balance is 158, stock remaining is 26
Depot A 2 traded 1 product A for 16$. New balance is 174, stock remaining is 25
Depot A 2 traded 1 product A for 16$. New balance is 190, stock remaining is 24
Depot A 2 traded 1 product A for 16$. New balance is 206, stock remaining is 23
Depot A 2 traded 1 product A for 16$. New balance is 222, stock remaining is 22
Depot A 2 traded 1 product A for 16$. New balance is 238, stock remaining is 21
Depot A 2 traded 1 product A for 16$. New balance is 254, stock remaining is 20
Depot A 2 traded 1 product A for 16$. New balance is 270, stock remaining is 19
Depot A 2 traded 1 product A for 16$. New balance is 286, stock remaining is 18
Depot A 2 traded 1 product A for 16$. New balance is 302, stock remaining is 17
Depot A 2 traded 1 product A for 16$. New balance is 318, stock remaining is 16
Depot A 2 traded 1 product A for 16$. New balance is 334, stock remaining is 15
Depot A 3 traded 1 product A for 18$. New balance is 116, stock remaining is 31
Depot A 3 traded 1 product A for 18$. New balance is 134, stock remaining is 30
Depot A 3 traded 1 product A for 18$. New balance is 152, stock remaining is 29
Depot A 3 traded 1 product A for 18$. New balance is 170, stock remaining is 28
Depot A 3 traded 1 product A for 18$. New balance is 188, stock remaining is 27
Depot A 3 traded 1 product A for 18$. New balance is 206, stock remaining is 26
Depot A 3 traded 1 product A for 18$. New balance is 224, stock remaining is 25
Depot A 3 traded 1 product A for 18$. New balance is 242, stock remaining is 24
Depot A 3 traded 1 product A for 18$. New balance is 260, stock remaining is 23
Depot A 3 traded 1 product A for 18$. New balance is 278, stock remaining is 22
Depot A 3 traded 1 product A for 18$. New balance is 296, stock remaining is 21
Depot A 3 traded 1 product A for 18$. New balance is 314, stock remaining is 20
Depot A 3 traded 1 product A for 18$. New balance is 332, stock remaining is 19
Depot A 3 traded 1 product A for 18$. New balance is 350, stock remaining is 18
Depot A 3 traded 1 product A for 18$. New balance is 368, stock remaining is 17
Depot A 3 traded 1 product A for 18$. New balance is 386, stock remaining is 16
Depot A 3 traded 1 product A for 18$. New balance is 404, stock remaining is 15
Depot A 5 traded 1 product A for 6$. New balance is 77, stock remaining is 21
Depot A 5 traded 1 product A for 6$. New balance is 83, stock remaining is 20
Depot A 5 traded 1 product A for 6$. New balance is 89, stock remaining is 19
Depot A 5 traded 1 product A for 6$. New balance is 95, stock remaining is 18
Depot A 5 traded 1 product A for 6$. New balance is 101, stock remaining is 17
Depot A 5 traded 1 product A for 6$. New balance is 107, stock remaining is 16
Depot A 5 traded 1 product A for 6$. New balance is 113, stock remaining is 15
Depot A 6 traded 1 product A for 14$. New balance is 99, stock remaining is 31
Depot A 6 traded 1 product A for 14$. New balance is 113, stock remaining is 30
Depot A 6 traded 1 product A for 14$. New balance is 127, stock remaining is 29
Depot A 6 traded 1 product A for 14$. New balance is 141, stock remaining is 28
Depot A 6 traded 1 product A for 14$. New balance is 155, stock remaining is 27
Depot A 6 traded 1 product A for 14$. New balance is 169, stock remaining is 26
Depot A 6 traded 1 product A for 14$. New balance is 183, stock remaining is 25
Depot A 6 traded 1 product A for 14$. New balance is 197, stock remaining is 24
Depot A 6 traded 1 product A for 14$. New balance is 211, stock remaining is 23
Depot A 6 traded 1 product A for 14$. New balance is 225, stock remaining is 22
Depot A 6 traded 1 product A for 14$. New balance is 239, stock remaining is 21
Depot A 6 traded 1 product A for 14$. New balance is 253, stock remaining is 20
Depot A 6 traded 1 product A for 14$. New balance is 267, stock remaining is 19
Depot A 6 traded 1 product A for 14$. New balance is 281, stock remaining is 18
Depot A 6 traded 1 product A for 14$. New balance is 295, stock remaining is 17
Depot A 6 traded 1 product A for 14$. New balance is 309, stock remaining is 16
Depot A 6 traded 1 product A for 14$. New balance is 323, stock remaining is 15
Depot A 7 traded 1 product A for 4$. New balance is 75, stock remaining is 31
Depot A 7 traded 1 product A for 4$. New balance is 79, stock remaining is 30
Depot A 7 traded 1 product A for 4$. New balance is 83, stock remaining is 29
Depot A 7 traded 1 product A for 4$. New balance is 87, stock remaining is 28
Depot A 7 traded 1 product A for 4$. New balance is 91, stock remaining is 27
Depot A 7 traded 1 product A for 4$. New balance is 95, stock remaining is 26
Depot A 7 traded 1 product A for 4$. New balance is 99, stock remaining is 25
Depot A 7 traded 1 product A for 4$. New balance is 103, stock remaining is 24
Depot A 7 traded 1 product A for 4$. New balance is 107, stock remaining is 23
Depot A 7 traded 1 product A for 4$. New balance is 111, stock remaining is 22
Depot A 7 traded 1 product A for 4$. New balance is 115, stock remaining is 21
Depot A 7 traded 1 product A for 4$. New balance is 119, stock remaining is 20
Depot A 7 traded 1 product A for 4$. New balance is 123, stock remaining is 19
Depot A 7 traded 1 product A for 4$. New balance is 127, stock remaining is 18
Depot A 7 traded 1 product A for 4$. New balance is 131, stock remaining is 17
Depot A 7 traded 1 product A for 4$. New balance is 135, stock remaining is 16
Depot A 7 traded 1 product A for 4$. New balance is 139, stock remaining is 15
Depot A 8 traded 1 product A for 12$. New balance is 70, stock remaining is 31
Depot A 8 traded 1 product A for 12$. New balance is 82, stock remaining is 30
Depot A 8 traded 1 product A for 12$. New balance is 94, stock remaining is 29
Depot A 8 traded 1 product A for 12$. New balance is 106, stock remaining is 28
Depot A 8 traded 1 product A for 12$. New balance is 118, stock remaining is 27
Depot A 8 traded 1 product A for 12$. New balance is 130, stock remaining is 26
Depot A 8 traded 1 product A for 12$. New balance is 142, stock remaining is 25
Depot A 8 traded 1 product A for 12$. New balance is 154, stock remaining is 24
Depot A 8 traded 1 product A for 12$. New balance is 166, stock remaining is 23
Depot A 8 traded 1 product A for 12$. New balance is 178, stock remaining is 22
Depot A 8 traded 1 product A for 12$. New balance is 190, stock remaining is 21
Depot A 8 traded 1 product A for 12$. New balance is 202, stock remaining is 20
Depot A 8 traded 1 product A for 12$. New balance is 214, stock remaining is 19
Depot A 8 traded 1 product A for 12$. New balance is 226, stock remaining is 18
Depot A 8 traded 1 product A for 12$. New balance is 238, stock remaining is 17
Depot A 8 traded 1 product A for 12$. New balance is 250, stock remaining is 16
Depot A 8 traded 1 product A for 12$. New balance is 262, stock remaining is 15
